locationCode,locationName,propertyCode,lat,lon,depth
JCJ2,Juan Carlos Antarctic Base Johnson Dock (Secondary),"conductivity,seawatertemperature,salinity,oxygen",-62.659,-60.37281,5
JCJD,Juan Carlos Antarctic Base Johnson Dock,"conductivity,seawatertemperature,salinity,oxygen",-62.657603,-60.368077,21
JF2C,JF2C Mooring,"conductivity,seawatertemperature,salinity,oxygen",48.356755,-124.215269,181.333333
JFCN,JFCN Mooring,"conductivity,seawatertemperature,salinity,oxygen",48.508221,-124.750095,225.8
KEMF,Main Endeavour Field,"seawatertemperature",47.949217,-129.098439,2189.768421
KEMF.T2,Vertical Temperature Stick 01,"seawatertemperature",47.9493,-129.098323,2191
KEMF.T3,Vertical Temperature Stick 02,"seawatertemperature",47.9493,-129.098323,2191
KEMFR,RAS Temperature Probe,"seawatertemperature",47.949283,-129.098349,2190
KEMFT,Tempo-Mini,"seawatertemperature,oxygen",47.949295,-129.098327,2191
KEMO,Mothra,"seawatertemperature",47.923913,-129.108544,2273.62
KVIP,Kitamaat Village Underwater Network,"conductivity,seawatertemperature,salinity,oxygen",53.974668,-128.65701,40
